county_fips,DEMOCRAT,REPUBLICAN,TOTAL,dem_percent,rep_percent,dem_lead,dem_percentage_pts_lead
01001,7503.0,19838.0,27770,27.018365142239826,71.4368023046453,-12335.0,-44.41843716240547
01003,24578.0,83544.0,109679,22.409029987509005,76.17137282433282,-58966.0,-53.76234283682382
01005,4816.0,5622.0,10518,45.78817265639856,53.45122646891044,-806.0,-7.663053812511883
01007,1986.0,7525.0,9595,20.698280354351226,78.42626367899948,-5539.0,-57.72798332464825
01009,2640.0,24711.0,27588,9.569377990430622,89.57155284906482,-22071.0,-80.00217485863419
01011,3446.0,1146.0,4613,74.70192933015392,24.842835464990245,2300.0,49.85909386516367
01013,3965.0,5458.0,9488,41.78962900505902,57.525295109612145,-1493.0,-15.735666104553125
01015,15216.0,35101.0,50983,29.845242531824333,68.84843967597043,-19885.0,-39.00319714414609
01017,6365.0,8753.0,15284,41.644857367181366,57.26903951845067,-2388.0,-15.624182151269302
01019,1624.0,10583.0,12301,13.202178684659783,86.03365580034144,-8959.0,-72.83147711568165
01021,3073.0,16085.0,19310,15.91403417918177,83.29880890730192,-13012.0,-67.38477472812015
01023,3127.0,4296.0,7464,41.89442658092176,57.556270096463024,-1169.0,-15.661843515541264
01025,5755.0,7324.0,13135,43.81423677198325,55.75942139322421,-1569.0,-11.945184621240955
01027,1267.0,5601.0,6930,18.282828282828284,80.82251082251082,-4334.0,-62.53968253968254
01029,675.0,6484.0,7227,9.339975093399751,89.71910889719109,-5809.0,-80.37913380379135
01031,5076.0,16899.0,22275,22.78787878787879,75.86531986531986,-11823.0,-53.07744107744107
01033,8343.0,19203.0,27886,29.918238542637884,68.8625116545937,-10860.0,-38.94427311195582
01035,2966.0,3442.0,6441,46.04875019406924,53.43890700201832,-476.0,-7.390156807949076
01037,1796.0,3631.0,5479,32.779704325606865,66.27121737543348,-1835.0,-33.491513049826615
01039,2721.0,14586.0,17430,15.611015490533562,83.68330464716007,-11865.0,-68.07228915662651
01041,1700.0,4864.0,6617,25.691400936980504,73.50763185733716,-3164.0,-47.81623092035666
01043,4478.0,36880.0,41851,10.699863802537573,88.12214761893384,-32402.0,-77.42228381639626
01045,5170.0,14303.0,19738,26.193130003039823,72.4642820954504,-9133.0,-46.271152092410574
01047,12230.0,5524.0,17864,68.46171070309002,30.92252575011196,6706.0,37.53918495297806
01049,4281.0,24767.0,29356,14.583049461779535,84.36776127537811,-20486.0,-69.78471181359858
01051,10367.0,30164.0,41030,25.26687789422374,73.51693882524982,-19797.0,-48.250060931026084
01053,4918.0,10869.0,15910,30.91137649277184,68.31552482715273,-5951.0,-37.40414833438089
01055,11567.0,35528.0,47728,24.23524974857526,74.43848474689909,-23961.0,-50.203234998323836
01057,1395.0,7300.0,8766,15.91375770020534,83.27629477526808,-5905.0,-67.36253707506275
01059,2086.0,10376.0,12578,16.584512641119414,82.49324216886627,-8290.0,-65.90872952774686
01061,1595.0,10848.0,12545,12.714228776404942,86.47269828616979,-9253.0,-73.75846950976485
01063,3884.0,875.0,4775,81.34031413612566,18.32460732984293,3009.0,63.01570680628272
01065,4663.0,3192.0,7900,59.0253164556962,40.40506329113924,1471.0,18.620253164556956
01067,2606.0,6607.0,9298,28.02753280275328,71.05829210582921,-4001.0,-43.030759303075925
01069,12917.0,32618.0,46173,27.975223615532887,70.64301648149352,-19701.0,-42.667792865960635
01071,3717.0,19670.0,23636,15.726011169402605,83.22051108478593,-15953.0,-67.49449991538332
01073,181688.0,138843.0,325848,55.758513171785616,42.6097444207115,42845.0,13.148768751074115
01075,978.0,6174.0,7193,13.59655220353121,85.8334491867093,-5196.0,-72.2368969831781
01077,11915.0,31721.0,44339,26.872505018155575,71.54198335551095,-19806.0,-44.66947833735537
01079,3562.0,12322.0,16031,22.219449815981537,76.86357681991142,-8760.0,-54.64412700392988
01081,27860.0,42221.0,71449,38.992848045459,59.092499545130096,-14361.0,-20.099651499671097
01083,13672.0,34640.0,49235,27.768863613283234,70.35645374225652,-20968.0,-42.58759012897329
01085,4972.0,1836.0,6835,72.74323335771763,26.861741038771033,3136.0,45.8814923189466
01087,7108.0,1541.0,8723,81.48572738736674,17.665940616760288,5567.0,63.81978677060645
01089,87286.0,102780.0,194767,44.815600178675034,52.77074658438031,-15494.0,-7.955146405705278
01091,5488.0,5343.0,10900,50.34862385321101,49.018348623853214,145.0,1.3302752293577953
01093,1463.0,12205.0,13807,10.596074454986601,88.39718983124502,-10742.0,-77.80111537625841
01095,5943.0,33191.0,39655,14.98676081200353,83.69940738872778,-27248.0,-68.71264657672425
01097,79474.0,101243.0,183164,43.38953069380446,55.27450809110961,-21769.0,-11.88497739730515
01099,4455.0,6147.0,10668,41.760404949381325,57.62092238470191,-1692.0,-15.860517435320588
01101,64529.0,33311.0,99139,65.08941990538537,33.600298570693674,31218.0,31.489121334691696
01103,13234.0,39664.0,53722,24.634228062990953,73.83194966680317,-26430.0,-49.19772160381221
01105,3860.0,1339.0,5230,73.80497131931166,25.60229445506692,2521.0,48.20267686424474
01107,4022.0,5594.0,9668,41.60115846090194,57.86098469176665,-1572.0,-16.25982623086471
01109,5636.0,8042.0,13841,40.719601184885484,58.10273824145654,-2406.0,-17.38313705657106
01111,2203.0,8559.0,10837,20.328504198578944,78.97942234935869,-6356.0,-58.650918150779745
01113,11228.0,9864.0,21329,52.64194289465048,46.246893900323506,1364.0,6.39504899432697
